i x result
1 3.3000000000000002e-01 1.0153846740722656e+00
1 3.4000000000000002e-01 1.0388889312744141e+00
1 3.4999999999999998e-01 1.0620690584182739e+00
1 3.5999999999999999e-01 1.0849316120147705e+00
1 3.7000000000000000e-01 1.1074830293655396e+00
1 3.8000000000000000e-01 1.1297297477722168e+00
1 3.9000000000000001e-01 1.1516778469085693e+00
1 4.0000000000000002e-01 1.1733332872390747e+00
1 4.0999999999999998e-01 1.1947020292282104e+00
1 4.1999999999999998e-01 1.2157894372940063e+00
1 4.2999999999999999e-01 1.2366013526916504e+00
1 4.4000000000000000e-01 1.2571429014205933e+00
1 4.5000000000000001e-01 1.2774193286895752e+00
1 4.6000000000000002e-01 1.2974359989166260e+00
1 4.6999999999999997e-01 1.3171974420547485e+00
1 4.7999999999999998e-01 1.3367087841033936e+00
1 4.8999999999999999e-01 1.3559747934341431e+00
1 5.0000000000000000e-01 1.3750000000000000e+00
1 5.1000000000000001e-01 1.3937888145446777e+00
1 5.2000000000000002e-01 1.4123456478118896e+00
1 5.3000000000000003e-01 1.4306747913360596e+00
1 5.4000000000000004e-01 1.4487805366516113e+00
1 5.5000000000000004e-01 1.4666666984558105e+00
1 5.6000000000000005e-01 1.4843373298645020e+00
1 5.6999999999999995e-01 1.5017963647842407e+00
1 5.7999999999999996e-01 1.5190476179122925e+00
1 5.8999999999999997e-01 1.5360946655273438e+00
1 5.9999999999999998e-01 1.5529413223266602e+00
1 6.0999999999999999e-01 1.5695906877517700e+00
1 6.2000000000000000e-01 1.5860465764999390e+00
1 6.3000000000000000e-01 1.6023122072219849e+00
1 6.4000000000000001e-01 1.6183907985687256e+00
1 6.5000000000000002e-01 1.6342856884002686e+00
1 6.6000000000000003e-01 1.6500000953674316e+00
1 6.7000000000000004e-01 1.6655367612838745e+00
1 6.8000000000000005e-01 1.6808989048004150e+00
1 6.8999999999999995e-01 1.6960893869400024e+00
1 6.9999999999999996e-01 1.7111110687255859e+00
1 7.0999999999999996e-01 1.7259668111801147e+00
1 7.1999999999999997e-01 1.7406594753265381e+00
1 7.2999999999999998e-01 1.7551912069320679e+00
1 7.3999999999999999e-01 1.7695651054382324e+00
1 7.5000000000000000e-01 1.7837836742401123e+00
1 7.6000000000000001e-01 1.7978494167327881e+00
1 7.7000000000000002e-01 1.8117645978927612e+00
1 7.8000000000000003e-01 1.8255318403244019e+00
1 7.9000000000000004e-01 1.8391534090042114e+00
1 8.0000000000000004e-01 1.8526315689086914e+00
1 8.1000000000000005e-01 1.8659685850143433e+00
1 8.1999999999999995e-01 1.8791666030883789e+00
1 8.2999999999999996e-01 1.8922278881072998e+00
1 8.3999999999999997e-01 1.9051545858383179e+00
1 8.4999999999999998e-01 1.9179488420486450e+00
1 8.5999999999999999e-01 1.9306123256683350e+00
1 8.7000000000000000e-01 1.9431473016738892e+00
1 8.8000000000000000e-01 1.9555555582046509e+00
1 8.9000000000000001e-01 1.9678392410278320e+00
1 9.0000000000000002e-01 1.9800000190734863e+00
1 9.1000000000000003e-01 1.9920399188995361e+00
1 9.2000000000000004e-01 2.0039606094360352e+00
1 9.3000000000000005e-01 2.0157635211944580e+00
1 9.3999999999999995e-01 2.0274510383605957e+00
1 9.4999999999999996e-01 2.0390243530273438e+00
1 9.5999999999999996e-01 2.0504853725433350e+00
1 9.6999999999999997e-01 2.0618357658386230e+00
1 9.7999999999999998e-01 2.0730769634246826e+00
1 9.8999999999999999e-01 2.0842106342315674e+00
1 1.0000000000000000e+00 2.0952379703521729e+00
