i x result
1 3.8000000000000000e-01 1.1289062500000000e+00
1 3.9000000000000001e-01 1.1513671875000000e+00
1 4.0000000000000002e-01 1.1738281250000000e+00
1 4.0999999999999998e-01 1.1943359375000000e+00
1 4.1999999999999998e-01 1.2158203125000000e+00
1 4.2999999999999999e-01 1.2363281250000000e+00
1 4.4000000000000000e-01 1.2568359375000000e+00
1 4.5000000000000001e-01 1.2773437500000000e+00
1 4.6000000000000002e-01 1.2978515625000000e+00
1 4.6999999999999997e-01 1.3164062500000000e+00
1 4.7999999999999998e-01 1.3369140625000000e+00
1 4.8999999999999999e-01 1.3564453125000000e+00
1 5.0000000000000000e-01 1.3740234375000000e+00
1 5.1000000000000001e-01 1.3925781250000000e+00
1 5.2000000000000002e-01 1.4121093750000000e+00
1 5.3000000000000003e-01 1.4296875000000000e+00
1 5.4000000000000004e-01 1.4482421875000000e+00
1 5.5000000000000004e-01 1.4658203125000000e+00
1 5.6000000000000005e-01 1.4833984375000000e+00
1 5.6999999999999995e-01 1.5019531250000000e+00
1 5.7999999999999996e-01 1.5195312500000000e+00
1 5.8999999999999997e-01 1.5361328125000000e+00
1 5.9999999999999998e-01 1.5537109375000000e+00
1 6.0999999999999999e-01 1.5693359375000000e+00
1 6.2000000000000000e-01 1.5869140625000000e+00
1 6.3000000000000000e-01 1.6025390625000000e+00
1 6.4000000000000001e-01 1.6181640625000000e+00
1 6.5000000000000002e-01 1.6337890625000000e+00
1 6.6000000000000003e-01 1.6503906250000000e+00
1 6.7000000000000004e-01 1.6650390625000000e+00
1 6.8000000000000005e-01 1.6816406250000000e+00
1 6.8999999999999995e-01 1.6962890625000000e+00
1 6.9999999999999996e-01 1.7109375000000000e+00
1 7.0999999999999996e-01 1.7255859375000000e+00
1 7.1999999999999997e-01 1.7412109375000000e+00
1 7.2999999999999998e-01 1.7548828125000000e+00
1 7.3999999999999999e-01 1.7695312500000000e+00
1 7.5000000000000000e-01 1.7841796875000000e+00
1 7.6000000000000001e-01 1.7968750000000000e+00
1 7.7000000000000002e-01 1.8115234375000000e+00
1 7.8000000000000003e-01 1.8251953125000000e+00
1 7.9000000000000004e-01 1.8388671875000000e+00
1 8.0000000000000004e-01 1.8525390625000000e+00
1 8.1000000000000005e-01 1.8662109375000000e+00
1 8.1999999999999995e-01 1.8779296875000000e+00
1 8.2999999999999996e-01 1.8935546875000000e+00
1 8.3999999999999997e-01 1.9042968750000000e+00
1 8.4999999999999998e-01 1.9169921875000000e+00
1 8.5999999999999999e-01 1.9306640625000000e+00
1 8.7000000000000000e-01 1.9433593750000000e+00
1 8.8000000000000000e-01 1.9550781250000000e+00
1 8.9000000000000001e-01 1.9687500000000000e+00
1 9.0000000000000002e-01 1.9794921875000000e+00
1 9.1000000000000003e-01 1.9921875000000000e+00
1 9.2000000000000004e-01 2.0039062500000000e+00
1 9.3000000000000005e-01 2.0156250000000000e+00
1 9.3999999999999995e-01 2.0273437500000000e+00
1 9.4999999999999996e-01 2.0390625000000000e+00
1 9.5999999999999996e-01 2.0507812500000000e+00
1 9.6999999999999997e-01 2.0625000000000000e+00
1 9.7999999999999998e-01 2.0742187500000000e+00
1 9.8999999999999999e-01 2.0839843750000000e+00
1 1.0000000000000000e+00 2.0957031250000000e+00
