i x t
10 5.0999999e-01 -2.8671202e-01
11 5.0999999e-01 -2.8721106e-01
12 5.0999999e-01 -2.8902832e-01
13 5.0999999e-01 -2.8818962e-01
14 5.0999999e-01 -2.8762966e-01
15 5.0999999e-01 -2.8834987e-01
16 5.0999999e-01 -2.8784043e-01
17 5.0999999e-01 -2.8700688e-01
18 5.0999999e-01 -2.8774476e-01
19 5.0999999e-01 -2.8896490e-01
20 5.0999999e-01 -2.8687048e-01
1 5.1099998e-01 -2.6373798e-01
2 5.1099998e-01 -2.6592657e-01
3 5.1099998e-01 -2.6549616e-01
4 5.1099998e-01 -2.6331869e-01
5 5.1099998e-01 -2.6683429e-01
6 5.1099998e-01 -2.6410070e-01
7 5.1099998e-01 -2.6516420e-01
8 5.1099998e-01 -2.6680905e-01
9 5.1099998e-01 -2.6637205e-01
10 5.1099998e-01 -2.6419598e-01
11 5.1099998e-01 -2.6558739e-01
12 5.1099998e-01 -2.6549289e-01
13 5.1099998e-01 -2.6464760e-01
14 5.1099998e-01 -2.6674807e-01
15 5.1099998e-01 -2.6512477e-01
16 5.1099998e-01 -2.6421154e-01
17 5.1099998e-01 -2.6745087e-01
18 5.1099998e-01 -2.6482835e-01
19 5.1099998e-01 -2.6682821e-01
20 5.1099998e-01 -2.6666200e-01
1 5.1200002e-01 -2.4169739e-01
2 5.1200002e-01 -2.4279746e-01
3 5.1200002e-01 -2.4312371e-01
4 5.1200002e-01 -2.4377201e-01
5 5.1200002e-01 -2.4490862e-01
6 5.1200002e-01 -2.4254775e-01
7 5.1200002e-01 -2.4290545e-01
8 5.1200002e-01 -2.4325517e-01
9 5.1200002e-01 -2.4389753e-01
10 5.1200002e-01 -2.4301358e-01
11 5.1200002e-01 -2.4274738e-01
12 5.1200002e-01 -2.4248466e-01
13 5.1200002e-01 -2.4176353e-01
14 5.1200002e-01 -2.4319574e-01
15 5.1200002e-01 -2.4295680e-01
16 5.1200002e-01 -2.4408959e-01
17 5.1200002e-01 -2.4295193e-01
18 5.1200002e-01 -2.4427426e-01
19 5.1200002e-01 -2.4214478e-01
20 5.1200002e-01 -2.4192908e-01
1 5.1300001e-01 -2.2103374e-01
2 5.1300001e-01 -2.1919304e-01
3 5.1300001e-01 -2.2160080e-01
4 5.1300001e-01 -2.1831749e-01
5 5.1300001e-01 -2.2131594e-01
