i x t
17 1.3000000e-01 -8.6066920e-01
18 1.3000000e-01 -8.6066890e-01
19 1.3000000e-01 -8.6067003e-01
20 1.3000000e-01 -8.6066896e-01
1 1.4000000e-01 -9.4527346e-01
2 1.4000000e-01 -9.4527364e-01
3 1.4000000e-01 -9.4527274e-01
4 1.4000000e-01 -9.4527334e-01
5 1.4000000e-01 -9.4527352e-01
6 1.4000000e-01 -9.4527346e-01
7 1.4000000e-01 -9.4527352e-01
8 1.4000000e-01 -9.4527400e-01
9 1.4000000e-01 -9.4527316e-01
10 1.4000000e-01 -9.4527334e-01
11 1.4000000e-01 -9.4527310e-01
12 1.4000000e-01 -9.4527376e-01
13 1.4000000e-01 -9.4527376e-01
14 1.4000000e-01 -9.4527358e-01
15 1.4000000e-01 -9.4527352e-01
16 1.4000000e-01 -9.4527370e-01
17 1.4000000e-01 -9.4527388e-01
18 1.4000000e-01 -9.4527388e-01
19 1.4000000e-01 -9.4527316e-01
20 1.4000000e-01 -9.4527340e-01
1 1.5000001e-01 -9.9153250e-01
2 1.5000001e-01 -9.9153203e-01
3 1.5000001e-01 -9.9153203e-01
4 1.5000001e-01 -9.9153280e-01
5 1.5000001e-01 -9.9153268e-01
6 1.5000001e-01 -9.9153215e-01
7 1.5000001e-01 -9.9153280e-01
8 1.5000001e-01 -9.9153280e-01
9 1.5000001e-01 -9.9153233e-01
10 1.5000001e-01 -9.9153250e-01
11 1.5000001e-01 -9.9153370e-01
12 1.5000001e-01 -9.9153233e-01
13 1.5000001e-01 -9.9153280e-01
14 1.5000001e-01 -9.9153250e-01
15 1.5000001e-01 -9.9153274e-01
16 1.5000001e-01 -9.9153256e-01
17 1.5000001e-01 -9.9153197e-01
18 1.5000001e-01 -9.9153262e-01
19 1.5000001e-01 -9.9153268e-01
20 1.5000001e-01 -9.9153239e-01
1 1.6000000e-01 -9.9739397e-01
2 1.6000000e-01 -9.9739265e-01
3 1.6000000e-01 -9.9739367e-01
4 1.6000000e-01 -9.9739355e-01
5 1.6000000e-01 -9.9739343e-01
6 1.6000000e-01 -9.9739254e-01
7 1.6000000e-01 -9.9739277e-01
8 1.6000000e-01 -9.9739295e-01
9 1.6000000e-01 -9.9739301e-01
10 1.6000000e-01 -9.9739349e-01
11 1.6000000e-01 -9.9739355e-01
12 1.6000000e-01 -9.9739206e-01
13 1.6000000e-01 -9.9739385e-01
14 1.6000000e-01 -9.9739408e-01
15 1.6000000e-01 -9.9739283e-01
16 1.6000000e-01 -9.9739385e-01
17 1.6000000e-01 -9.9739343e-01
18 1.6000000e-01 -9.9739307e-01
19 1.6000000e-01 -9.9739343e-01
20 1.6000000e-01 -9.9739271e-01
1 1.7000000e-01 -9.6242380e-01
2 1.7000000e-01 -9.6242416e-01
3 1.7000000e-01 -9.6242565e-01
4 1.7000000e-01 -9.6242476e-01
